timestamp;mouse_id;zone_idx;event
2025-11-06T10:16:26;771003;0;enter
2025-11-06T10:16:26;7A2EED;2;enter
2025-11-06T10:16:26;AEC2C9;1;enter
2025-11-06T10:16:26;967AB1;12;enter
2025-11-06T10:16:26;864C6F;3;enter
2025-11-06T10:16:26;3F529A;3;enter
2025-11-06T10:16:27;771003;0;leave
2025-11-06T10:16:27;7A2EED;2;leave
2025-11-06T10:16:27;AEC2C9;1;leave
2025-11-06T10:16:27;967AB1;12;leave
2025-11-06T10:16:27;864C6F;3;leave
2025-11-06T10:16:27;3F529A;3;leave
2025-11-06T10:16:28;0619DD;5;enter
2025-11-06T10:16:28;8C552F;13;enter
2025-11-06T10:16:28;272C23;13;enter
2025-11-06T10:16:28;A8B5AB;11;enter
2025-11-06T10:16:28;DD3050;6;enter
2025-11-06T10:16:28;241525;1;enter
2025-11-06T10:16:28;222973;1;enter
2025-11-06T10:16:29;2ECCC4;8;enter
2025-11-06T10:16:29;63F83C;8;enter
2025-11-06T10:16:29;0619DD;5;leave
2025-11-06T10:16:29;8C552F;13;leave
2025-11-06T10:16:29;272C23;13;leave
2025-11-06T10:16:29;A8B5AB;11;leave
2025-11-06T10:16:29;DD3050;6;leave
2025-11-06T10:16:29;241525;1;leave
2025-11-06T10:16:29;222973;1;leave
2025-11-06T10:16:29;241525;8;enter
2025-11-06T10:16:29;BC6D19;9;enter
2025-11-06T10:16:29;A8B5AB;11;enter
2025-11-06T10:16:29;7A2EED;11;enter
2025-11-06T10:16:29;222973;5;enter
2025-11-06T10:16:29;01F2C9;1;enter
2025-11-06T10:16:29;2ECCC4;8;leave
2025-11-06T10:16:29;63F83C;8;leave
2025-11-06T10:16:30;7A2EED;11;leave
2025-11-06T10:16:30;7A2EED;2;enter
2025-11-06T10:16:30;241525;8;leave
2025-11-06T10:16:30;BC6D19;9;leave
2025-11-06T10:16:30;A8B5AB;11;leave
2025-11-06T10:16:30;222973;5;leave
2025-11-06T10:16:30;01F2C9;1;leave
2025-11-06T10:16:31;BC6D19;2;enter
2025-11-06T10:16:31;DD3050;11;enter
2025-11-06T10:16:31;7A2EED;2;leave
2025-11-06T10:16:31;1EB2C3;2;enter
2025-11-06T10:16:31;AEC2C9;2;enter
2025-11-06T10:16:31;EEA854;2;enter
2025-11-06T10:16:31;C50050;6;enter
2025-11-06T10:16:31;2ECCC4;6;enter
2025-11-06T10:16:31;771003;10;enter
2025-11-06T10:16:31;864C6F;13;enter
2025-11-06T10:16:31;8C552F;1;enter
2025-11-06T10:16:31;A8B5AB;14;enter
2025-11-06T10:16:31;BC6D19;2;leave
2025-11-06T10:16:31;DD3050;11;leave
2025-11-06T10:16:32;A8B5AB;14;leave
2025-11-06T10:16:32;A8B5AB;0;enter
2025-11-06T10:16:32;272C23;0;enter
2025-11-06T10:16:32;967AB1;0;enter
2025-11-06T10:16:32;52B964;9;enter
2025-11-06T10:16:32;1EB2C3;2;leave
2025-11-06T10:16:32;1EB2C3;9;enter
2025-11-06T10:16:32;47A745;7;enter
2025-11-06T10:16:32;C50050;6;leave
2025-11-06T10:16:32;C50050;3;enter
2025-11-06T10:16:32;8C552F;1;leave
2025-11-06T10:16:32;8C552F;6;enter
2025-11-06T10:16:32;AEC2C9;2;leave
2025-11-06T10:16:32;EEA854;2;leave
2025-11-06T10:16:32;2ECCC4;6;leave
2025-11-06T10:16:32;771003;10;leave
2025-11-06T10:16:32;864C6F;13;leave
2025-11-06T10:16:32;47A745;7;leave
2025-11-06T10:16:32;47A745;8;enter
2025-11-06T10:16:32;241525;5;enter
2025-11-06T10:16:32;3F529A;11;enter
2025-11-06T10:16:32;63F83C;0;enter
2025-11-06T10:16:32;3023B2;0;enter
2025-11-06T10:16:32;C50050;3;leave
2025-11-06T10:16:32;C50050;6;enter
2025-11-06T10:16:32;A8B5AB;0;leave
2025-11-06T10:16:32;272C23;0;leave
2025-11-06T10:16:32;967AB1;0;leave
2025-11-06T10:16:32;52B964;9;leave
2025-11-06T10:16:32;1EB2C3;9;leave
2025-11-06T10:16:32;8C552F;6;leave
2025-11-06T10:16:33;47A745;8;stay
2025-11-06T10:16:33;D7A2BE;8;enter
2025-11-06T10:16:33;967AB1;4;enter
2025-11-06T10:16:33;241525;5;leave
2025-11-06T10:16:33;3F529A;11;leave
2025-11-06T10:16:33;63F83C;0;leave
2025-11-06T10:16:33;3023B2;0;leave
2025-11-06T10:16:33;C50050;6;leave
2025-11-06T10:16:34;241525;8;enter
2025-11-06T10:16:34;AB1574;9;enter
2025-11-06T10:16:34;3023B2;7;enter
2025-11-06T10:16:34;EEA854;12;enter
2025-11-06T10:16:34;AEC2C9;3;enter
2025-11-06T10:16:34;47A745;8;leave
2025-11-06T10:16:34;D7A2BE;8;leave
2025-11-06T10:16:34;967AB1;4;leave
2025-11-06T10:16:34;2394CB;9;enter
2025-11-06T10:16:34;34714D;1;enter
2025-11-06T10:16:34;771003;13;enter
2025-11-06T10:16:34;63F83C;13;enter
2025-11-06T10:16:34;222973;13;enter
2025-11-06T10:16:34;864C6F;7;enter
2025-11-06T10:16:34;DD3050;7;enter
2025-11-06T10:16:34;C50050;5;enter
2025-11-06T10:16:34;241525;8;leave
2025-11-06T10:16:34;AB1574;9;leave
2025-11-06T10:16:34;3023B2;7;leave
2025-11-06T10:16:34;EEA854;12;leave
2025-11-06T10:16:34;AEC2C9;3;leave
2025-11-06T10:16:35;01F2C9;5;enter
2025-11-06T10:16:35;47A745;3;enter
2025-11-06T10:16:35;EEA854;3;enter
2025-11-06T10:16:35;52B964;2;enter
2025-11-06T10:16:35;2394CB;9;leave
2025-11-06T10:16:35;2394CB;8;enter
2025-11-06T10:16:35;7A2EED;8;enter
2025-11-06T10:16:35;AB1574;14;enter
2025-11-06T10:16:35;4E0A3E;7;enter
2025-11-06T10:16:35;34714D;1;leave
2025-11-06T10:16:35;771003;13;leave
2025-11-06T10:16:35;63F83C;13;leave
2025-11-06T10:16:35;222973;13;leave
2025-11-06T10:16:35;864C6F;7;leave
2025-11-06T10:16:35;DD3050;7;leave
2025-11-06T10:16:35;C50050;5;leave
2025-11-06T10:16:36;1DBCFD;11;enter
2025-11-06T10:16:36;8C552F;3;enter
2025-11-06T10:16:36;01F2C9;5;leave
2025-11-06T10:16:36;47A745;3;leave
2025-11-06T10:16:36;EEA854;3;leave
2025-11-06T10:16:36;52B964;2;leave
2025-11-06T10:16:36;2394CB;8;leave
2025-11-06T10:16:36;7A2EED;8;leave
2025-11-06T10:16:36;AB1574;14;leave
2025-11-06T10:16:36;4E0A3E;7;leave
2025-11-06T10:16:36;D7A2BE;1;enter
2025-11-06T10:16:36;DD3050;11;enter
2025-11-06T10:16:36;01F2C9;13;enter
2025-11-06T10:16:36;3F529A;4;enter
2025-11-06T10:16:36;4E0A3E;2;enter
